date,arrival_numbers,symbol
1-6-18,713730,Australian Citizen Arrivals
1-7-18,1017380,Australian Citizen Arrivals
1-8-18,811120,Australian Citizen Arrivals
1-9-18,859310,Australian Citizen Arrivals
1-10-18,1013830,Australian Citizen Arrivals
1-11-18,711460,Australian Citizen Arrivals
1-12-18,691500,Australian Citizen Arrivals
1-1-19,1151960,Australian Citizen Arrivals
1-2-19,629280,Australian Citizen Arrivals
1-3-19,654110,Australian Citizen Arrivals
1-4-19,809630,Australian Citizen Arrivals
1-5-19,750600,Australian Citizen Arrivals
1-6-19,739530,Australian Citizen Arrivals
1-7-19,1009170,Australian Citizen Arrivals
1-8-19,823500,Australian Citizen Arrivals
1-9-19,873520,Australian Citizen Arrivals
1-10-19,1013740,Australian Citizen Arrivals
1-11-19,746080,Australian Citizen Arrivals
1-12-19,709350,Australian Citizen Arrivals
1-1-20,1160610,Australian Citizen Arrivals
1-2-20,664990,Australian Citizen Arrivals
1-3-20,476430,Australian Citizen Arrivals
1-4-20,15060,Australian Citizen Arrivals
1-5-20,11110,Australian Citizen Arrivals
1-6-20,14070,Australian Citizen Arrivals
1-7-20,10700,Australian Citizen Arrivals
1-8-20,8790,Australian Citizen Arrivals
1-9-20,8900,Australian Citizen Arrivals
1-10-20,12280,Australian Citizen Arrivals
1-11-20,15500,Australian Citizen Arrivals
1-12-20,17820,Australian Citizen Arrivals
1-1-21,14140,Australian Citizen Arrivals
1-2-21,11510,Australian Citizen Arrivals
1-3-21,14300,Australian Citizen Arrivals
1-4-21,19590,Australian Citizen Arrivals
1-5-21,44570,Australian Citizen Arrivals
1-6-21,40490,Australian Citizen Arrivals
1-6-18,800940,Non-Australian Citizen Arrivals
1-7-18,992640,Non-Australian Citizen Arrivals
1-8-18,909240,Non-Australian Citizen Arrivals
1-9-18,864730,Non-Australian Citizen Arrivals
1-10-18,954240,Non-Australian Citizen Arrivals
1-11-18,958360,Non-Australian Citizen Arrivals
1-12-18,1163780,Non-Australian Citizen Arrivals
1-1-19,1065870,Non-Australian Citizen Arrivals
1-2-19,1164110,Non-Australian Citizen Arrivals
1-3-19,1009880,Non-Australian Citizen Arrivals
1-4-19,904920,Non-Australian Citizen Arrivals
1-5-19,839360,Non-Australian Citizen Arrivals
1-6-19,823560,Non-Australian Citizen Arrivals
1-7-19,1004010,Non-Australian Citizen Arrivals
1-8-19,961590,Non-Australian Citizen Arrivals
1-9-19,875750,Non-Australian Citizen Arrivals
1-10-19,969180,Non-Australian Citizen Arrivals
1-11-19,978440,Non-Australian Citizen Arrivals
1-12-19,1183090,Non-Australian Citizen Arrivals
1-1-20,1098340,Non-Australian Citizen Arrivals
1-2-20,906500,Non-Australian Citizen Arrivals
1-3-20,447550,Non-Australian Citizen Arrivals
1-4-20,6560,Non-Australian Citizen Arrivals
1-5-20,8290,Non-Australian Citizen Arrivals
1-6-20,11700,Non-Australian Citizen Arrivals
1-7-20,7580,Non-Australian Citizen Arrivals
1-8-20,6650,Non-Australian Citizen Arrivals
1-9-20,7820,Non-Australian Citizen Arrivals
1-10-20,12430,Non-Australian Citizen Arrivals
1-11-20,14270,Non-Australian Citizen Arrivals
1-12-20,17300,Non-Australian Citizen Arrivals
1-1-21,17550,Non-Australian Citizen Arrivals
1-2-21,14320,Non-Australian Citizen Arrivals
1-3-21,18600,Non-Australian Citizen Arrivals
1-4-21,35210,Non-Australian Citizen Arrivals
1-5-21,71060,Non-Australian Citizen Arrivals
1-6-21,62960,Non-Australian Citizen Arrivals